,County,Year,Total Population in Thousands,Population Served in Thousands,Public Self-Supply Withdrawals (Mgal/ day),Public Supply Per Capita (Gallons/Person/Day),Domestic Self-Supply Withdrawn (Mgal/day),Domestic Self-Supply Population (Thousands),"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic, Public-Supply, Gallons/Person/Day",Total Domestic Consumption (Mgal/day),"Domestic, Self-Supply, Gallons/Person/Day","Industrial, Self-Supply Withdrawn (Mgal/day)",Industrial Total Consumption (Mgal/day),"Livestock, Self-Supply, Freshwater (Mgal/day)",Livestock Consumption Freshwater (Mgal/day),"Irrigation, Crop, Self-Supply, Fresh (Mgal/day)",Irrigation Crop Consumtion Freshwater (Mgal)
89,Imperial County,2010,174.528,156.35,32.22,206.0,0.58,18.178,18.61,115.0,,32.0,1.2,,7.19,,1087.52,
90,Imperial County,2015,180.19099999999997,167.59599999999998,24.47,146.0,1.69,12.595,21.64,119.0,,134.0,1.2,,5.86,,1849.88,1349.58
91,Inyo County,1985,18.27,13.6,,,0.35,4.67,4.27,288.0,,75.0,0.26,0.06,,,,
92,Inyo County,1990,18.28,6.97,,,0.85,11.31,2.55,244.0,,75.0,0.0,0.0,,,,
93,Inyo County,1995,18.45,13.17,2.61,198.0,0.4,5.28,2.16,134.0,0.68,76.0,0.01,0.01,,,,
94,Inyo County,2000,17.95,6.91,,,0.83,11.04,,,,75.0,0.0,,2.21,,67.2,
95,Inyo County,2005,18.156,14.857999999999999,3.15,212.0,2.83,3.298,8.6,388.0,,858.0,0.01,,0.28,,,
96,Inyo County,2010,18.546,16.93,5.71,337.0,0.12,1.6159999999999999,2.31,129.0,,74.0,0.09,,0.23,,81.45,
97,Inyo County,2015,18.26,17.801,2.42,136.0,0.04,0.45899999999999996,1.6,88.0,,87.0,0.09,,0.23,,17.17,12.39
98,Kern County,1985,480.68,459.05,,,0.91,21.63,92.43,199.0,,42.0,20.51,11.17,,,,
99,Kern County,1990,543.48,423.44,,,9.0,120.04,69.15,142.0,,75.0,1.56,1.32,,,,
100,Kern County,1995,616.7,575.75,145.8,253.0,3.07,40.95,105.21,177.0,30.04,75.0,2.69,1.27,,,,
101,Kern County,2000,661.65,585.6,,,5.7,76.05,,,,75.0,7.3,,13.11,,2580.4,
102,Kern County,2005,756.825,702.13,311.28,443.0,19.76,54.695,130.95,158.0,,361.0,1.48,,9.22,,,
103,Kern County,2010,839.6310000000001,785.56,226.0,288.0,2.28,54.071000000000005,136.3,171.0,,42.0,2.46,,11.86,,1797.91,
104,Kern County,2015,882.176,859.482,168.87,196.0,2.3,22.694000000000003,108.37,123.0,,101.0,2.46,,12.17,,1614.93,1271.74
105,Kings County,1985,84.56,68.96,,,1.17,15.6,13.08,173.0,,75.0,3.8,2.35,,,,
106,Kings County,1990,101.47,73.73,,,2.08,27.74,14.5,168.0,,75.0,0.0,0.01,,,,
107,Kings County,1995,114.9,87.25,25.58,293.0,2.08,27.65,21.09,218.0,5.48,75.0,0.14,0.12,,,,
108,Kings County,2000,129.46,108.47,,,1.58,20.99,,,,75.0,1.75,,24.01,,1485.8,
109,Kings County,2005,143.42,112.555,55.33,492.0,6.0,30.865,24.11,161.0,,194.0,0.03,,13.35,,,
110,Kings County,2010,152.982,137.73,28.92,210.0,1.14,15.252,20.39,140.0,,75.0,3.08,,13.87,,1251.2,
111,Kings County,2015,150.965,143.16299999999998,29.07,203.0,0.88,7.8020000000000005,18.13,120.0,,113.0,3.08,,14.87,,637.13,482.31
112,Lake County,1985,47.66,45.39,,,0.17,2.27,3.55,74.0,,75.0,0.05,0.09,,,,
113,Lake County,1990,50.63,45.85,,,0.36,4.78,3.63,71.0,,75.0,0.01,0.0,,,,
114,Lake County,1995,55.1,42.32,5.83,138.0,0.96,12.78,4.69,88.0,1.25,75.0,0.04,0.01,,,,
115,Lake County,2000,58.31,44.66,,,1.02,13.65,,,,75.0,0.2,,0.15,,43.3,
116,Lake County,2005,65.14699999999999,31.454,6.06,193.0,1.04,33.693000000000005,7.85,217.0,,31.0,0.29,,0.15,,,
117,Lake County,2010,64.665,38.72,8.07,208.0,1.95,25.945,8.35,165.0,,75.0,0.96,,0.07,,32.65,
118,Lake County,2015,64.59100000000001,36.995,2.93,79.0,1.57,27.596,3.68,57.0,,57.0,0.96,,0.07,,52.51,41.65
119,Lassen County,1985,24.38,14.43,,,0.73,9.95,3.33,180.0,,73.0,1.25,0.29,,,,
120,Lassen County,1990,27.6,11.7,,,1.19,15.9,3.44,192.0,,75.0,0.0,0.0,,,,
121,Lassen County,1995,28.65,16.78,5.45,325.0,0.89,11.87,2.83,116.0,0.74,75.0,0.18,0.09,,,,
122,Lassen County,2000,33.83,17.11,,,1.26,16.72,,,,75.0,0.01,,0.91,,477.1,
123,Lassen County,2005,34.751,14.515,3.49,240.0,4.04,20.236,10.79,465.0,,200.0,7.28,,0.77,,,
124,Lassen County,2010,34.895,16.68,7.26,435.0,0.56,18.215,4.08,211.0,,31.0,0.0,,0.72,,175.57,
125,Lassen County,2015,31.345,19.99,3.8,190.0,1.0,11.355,3.64,132.0,,88.0,0.0,,0.65,,88.54,65.79
126,Los Angeles County,1985,8105.54,7724.76,,,24.96,380.78,956.19,121.0,,66.0,98.6,66.15,,,,
127,Los Angeles County,1990,8863.11,8422.12,,,30.27,440.99,1145.3,132.0,,69.0,34.05,40.48,,,,
128,Los Angeles County,1995,9352.2,9313.86,1472.8,158.0,2.88,38.34,1061.26,114.0,299.46,75.0,167.29,77.02,,,,
129,Los Angeles County,2000,9519.34,8509.22,,,75.76,1010.12,,,,75.0,57.73,,2.98,,51.4,
130,Los Angeles County,2005,9935.475,9076.276,1859.63,205.0,19.1,859.199,1125.76,122.0,,22.0,11.67,,0.3,,,
131,Los Angeles County,2010,9818.605,9242.7,1372.58,149.0,40.44,575.905,968.13,100.0,,70.0,103.27,,0.56,,61.82,
132,Los Angeles County,2015,10170.292,10139.981,1256.44,124.0,2.41,30.311,820.29,81.0,,80.0,103.27,,0.37,,17.63,13.47
133,Madera County,1985,75.75,21.59,,,2.35,54.16,6.28,182.0,,43.0,4.58,1.71,,,,
134,Madera County,1990,88.09,52.38,,,2.68,35.71,13.15,200.0,,75.0,0.0,0.0,,,,
135,Madera County,1995,106.4,57.0,17.19,302.0,3.7,49.4,16.66,227.0,4.33,75.0,3.79,1.12,,,,
136,Madera County,2000,123.11,74.04,,,3.68,49.07,,,,75.0,2.07,,13.32,,952.5,
137,Madera County,2005,142.78799999999998,87.38799999999999,51.85,593.0,9.68,55.4,29.34,225.0,,175.0,0.04,,5.61,,,
138,Madera County,2010,150.865,100.48,22.03,219.0,3.12,50.385,16.86,137.0,,62.0,4.57,,7.0,,709.94,
139,Madera County,2015,154.998,117.585,15.63,133.0,3.27,37.413000000000004,14.94,99.0,,87.0,4.57,,6.18,,771.58,620.27
140,Marin County,1985,223.99,219.37,,,0.34,4.62,24.03,108.0,,74.0,0.23,0.52,,,,
141,Marin County,1990,230.1,223.89,,,0.47,6.21,26.6,117.0,,76.0,0.0,0.0,,,,
142,Marin County,1995,238.9,230.35,37.01,161.0,0.64,8.55,29.04,123.0,7.55,75.0,0.0,0.48,,,,
143,Marin County,2000,247.29,243.52,,,0.28,3.77,,,,74.0,0.18,,2.65,,2.5,
144,Marin County,2005,246.96,246.65,30.8,125.0,0.81,0.31,20.25,79.0,,2613.0,0.0,,1.23,,,
