,County,Year,Total Population in Thousands,Population Served in Thousands,Public Self-Supply Withdrawals (Mgal/ day),Public Supply Per Capita (Gallons/Person/Day),Domestic Self-Supply Withdrawn (Mgal/day),Domestic Self-Supply Population (Thousands),"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic, Public-Supply, Gallons/Person/Day",Total Domestic Consumption (Mgal/day),"Domestic, Self-Supply, Gallons/Person/Day","Industrial, Self-Supply Withdrawn (Mgal/day)",Industrial Total Consumption (Mgal/day),"Livestock, Self-Supply, Freshwater (Mgal/day)",Livestock Consumption Freshwater (Mgal/day),"Irrigation, Crop, Self-Supply, Fresh (Mgal/day)",Irrigation Crop Consumtion Freshwater (Mgal)
391,Ventura County,2015,850.5360000000001,832.2330000000001,130.02,156.0,1.75,18.303,77.67,91.0,,96.0,10.21,,0.14,,79.97,66.16
392,Yolo County,1985,124.35,122.42,,,0.14,1.93,22.73,185.0,,73.0,8.12,2.04,,,,
393,Yolo County,1990,141.09,120.04,,,1.58,21.05,23.98,187.0,,75.0,4.17,1.4,,,,
394,Yolo County,1995,150.8,129.89,38.66,298.0,1.57,20.91,27.79,202.0,7.23,75.0,4.54,1.33,,,,
395,Yolo County,2000,168.66,135.2,,,2.51,33.46,,,,75.0,2.2,,0.36,,981.2,
396,Yolo County,2005,184.93200000000002,165.171,21.27,129.0,12.2,19.761,35.73,142.0,,617.0,0.0,,0.45,,,
397,Yolo County,2010,200.84900000000002,186.31,39.56,212.0,1.08,14.539000000000001,26.07,134.0,,74.0,0.79,,0.54,,736.72,
398,Yolo County,2015,213.016,191.998,26.91,140.0,1.69,21.018,16.9,79.0,,80.0,0.79,,0.48,,571.24,431.42
399,Yuba County,1985,53.97,51.08,,,0.22,2.89,7.67,146.0,,76.0,0.3,0.22,,,,
400,Yuba County,1990,58.23,36.2,,,1.65,22.03,4.55,80.0,,75.0,0.0,0.0,,,,
401,Yuba County,1995,62.3,46.1,8.59,186.0,1.21,16.2,7.08,127.0,2.04,75.0,0.0,0.04,,,,
402,Yuba County,2000,60.22,39.33,,,1.57,20.89,,,,75.0,0.0,,1.15,,357.7,
403,Yuba County,2005,67.153,42.565,14.21,334.0,3.56,24.588,12.83,218.0,,145.0,0.0,,0.72,,,
404,Yuba County,2010,72.155,60.69,10.53,174.0,0.86,11.465,7.96,117.0,,75.0,1.22,,0.41,,240.07,
405,Yuba County,2015,74.492,67.118,8.95,133.0,0.7,7.374,7.42,100.0,,95.0,1.22,,0.38,,314.19,240.19
