State Code,State Name,County Code,County Name,Year,"Total Population total population of area, in thousands","Public Supply population served by groundwater, in thousands","Public Supply population served by surface water, in thousands","Public Supply total population served, in thousands","Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d","Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, groundwater, in Mgal/d","Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d","Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, surface water, in Mgal/d","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Public Supply total self-supplied withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, total, in Mgal/d","Public Supply deliveries to domestic, in Mgal/d","Public Supply deliveries to commercial, in Mgal/d","Public Supply deliveries to industrial, in Mgal/d","Public Supply deliveries to thermoelectric, in Mgal/d","Public Supply total deliveries, in Mgal/d","Public Supply public use and losses, in Mgal/d","Public Supply per capita use, in gallons/person/day","Public Supply reclaimed wastewater, in Mgal/d",Public Supply number of facilities,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied groundwater withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, groundwater, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, surface water, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Domestic total self-supplied withdrawals, saline, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic total self-supplied withdrawals, in Mgal/d","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic consumptive use, fresh, in Mgal/d","Domestic consumptive use, saline, in Mgal/d","Domestic total consumptive use, in Mgal/d","Domestic per capita use, self-supplied, in gallons/person/day","Domestic reclaimed wastewater, in Mgal/d","Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d","Commercial self-supplied groundwater withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, groundwater, in Mgal/d","Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d","Commercial self-supplied surface-water withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, surface water, in Mgal/d","Commercial total self-supplied withdrawals, fresh, in Mgal/d","Commercial total self-supplied withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, in Mgal/d","Commercial deliveries from public supply, in Mgal/d","Commercial total self-supplied withdrawals plus deliveries, in Mgal/d","Commercial consumptive use, fresh, in Mgal/d","Commercial consumptive use, saline, in Mgal/d","Commercial total consumptive use, in Mgal/d","Commercial reclaimed wastewater, in Mgal/d","Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities,"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d","Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d","Livestock total self-supplied withdrawals, fresh, in Mgal/d","Livestock consumptive use, fresh, in Mgal/d","Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop consumptive use for crops, fresh, in Mgal/d","Irrigation, Crop conveyance loss for crops, in Mgal/d","Irrigation, Crop sprinkler irrigation for crops, in thousand acres","Irrigation, Crop microirrigation for crops, in thousand acres","Irrigation, Crop surface irrigation for crops, in thousand acres","Irrigation, Crop total irrigation for crops, in thousand acres","Irrigation, Crop reclaimed wastewater for crops, in Mgal/d"
6,California,7,Butte County,2015,225.411,-,-,187.259,19.08,0,19.08,9.73,0,9.73,28.81,0,28.81,18.69,-,-,0,-,-,154,-,-,2.94,-,-,0.43,-,-,3.37,38.152,18.69,-,100,-,22.06,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.17,0,3.17,0.85,0,0.85,4.02,0,4.02,-,-,-,-,-,0,16,0.13,0.16,0.29,-,716.43,35.77,752.2,591.51,-,136.85,68.43,18.67,223.95,0.01
6,California,9,Calaveras County,1985,26.88,3.48,17.23,20.71,0.57,-,-,3.04,-,-,3.61,-,-,2.2,0.83,0.97,0,4,-,-,-,-,0.12,-,-,0.02,-,-,0.14,6.17,2.2,-,106,-,2.34,0.61,-,-,23,-,0.05,-,-,0.01,-,-,0.06,-,-,0.83,-,0.24,-,-,-,0.36,0,0.36,0.23,0,0.23,0.59,0,0.59,0.97,1.56,0.55,0,0.55,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,9,Calaveras County,1990,32,0.91,10.71,11.62,0.09,-,-,1.71,-,-,1.8,-,-,1.32,0.28,0.05,0,1.65,-,-,-,22,0.12,-,-,1.41,-,-,1.53,20.38,1.32,-,114,-,2.85,0.74,-,-,75,-,0,-,-,0,-,-,0,-,-,0.28,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,9,Calaveras County,1995,36.95,0.91,27.86,28.77,0.09,0,0.09,4.99,0,4.99,5.08,0,5.08,3.74,0.4,0.05,0,4.19,0.89,177,0,9,0.55,0,0.55,0.06,0,0.06,0.61,8.18,3.74,0,130,0.61,4.35,1.13,0,1.13,75,-,0.03,0,0.03,0.05,0,0.05,0.08,0,0.08,0.4,0.48,0.1,0,0.1,0.25,0.52,0,0.52,0,0,0,0.52,0,0.52,0.05,0.57,0.16,0,0.16,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,9,Calaveras County,2000,40.55,1.82,33.79,35.61,0.3,-,-,6.71,-,-,7.01,-,-,-,-,-,-,-,-,-,-,-,0.33,-,-,0.04,-,-,0.37,4.94,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.15,0.19,0.34,-,2.9,3.5,6.4,-,-,0.1,1.4,0.7,2.2,-
6,California,9,Calaveras County,2005,46.871,15.585,23.313,38.898,2.64,0,2.64,3.95,0,3.95,6.59,0,6.59,9.04,-,-,-,-,-,169,-,-,3.97,-,-,0.01,-,-,3.98,7.973,9.04,-,232,-,13.02,-,-,-,499,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1.78,0,1.78,1.78,0,1.78,-,-,-,-,-,-,-,0.21,0.26,0.47,-,-,-,-,-,-,-,-,-,-,-
6,California,9,Calaveras County,2010,45.578,4.16,28.85,33.01,0.48,0,0.48,9.17,0,9.17,9.65,0,9.65,6.33,-,-,-,-,-,292,-,-,0.58,-,-,0.2,-,-,0.78,12.568,6.33,-,192,-,7.11,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0,0.17,0,0,0,0.17,0,0.17,-,-,-,-,-,0,-,0.17,0.21,0.38,-,1.47,9.57,11.04,-,-,0.27,2.07,1.96,4.3,-
6,California,9,Calaveras County,2015,44.828,-,-,33.145,0.19,0,0.19,6.4,0,6.4,6.59,0,6.59,3.34,-,-,0,-,-,199,-,-,0.88,-,-,0.3,-,-,1.18,11.683,3.34,-,101,-,4.52,-,-,-,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0,0.17,0,0,0,0.17,0,0.17,-,-,-,-,-,0,3,0.11,0.14,0.25,-,5.76,2.42,8.18,6.98,-,0.02,3.1,0.12,3.24,0.19
6,California,11,Colusa County,1985,14.69,10.05,0,10.05,3.22,-,-,0,-,-,3.22,-,-,1.96,0.74,0.03,0,2.73,-,-,-,-,0.34,-,-,0,-,-,0.34,4.64,1.96,-,195,-,2.3,0.6,-,-,73,-,0.13,-,-,0,-,-,0.13,-,-,0.74,-,0.26,-,-,-,0,0,0,0,0,0,0,0,0,0.03,0.03,0.01,0,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,11,Colusa County,1990,16.28,9.62,0,9.62,3.01,-,-,0,-,-,3.01,-,-,1.81,0.39,0.01,0,2.21,-,-,-,10,0.5,-,-,0,-,-,0.5,6.66,1.81,-,188,-,2.31,0.08,-,-,75,-,0,-,-,0,-,-,0,-,-,0.39,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,11,Colusa County,1995,17.85,12.77,0,12.77,3.01,0,3.01,0,0,0,3.01,0,3.01,2.08,0.51,0,0,2.59,0.42,236,0,4,0.35,0,0.35,0.03,0,0.03,0.38,5.08,2.08,0,163,0.38,2.46,0.67,0,0.67,75,-,0,0,0,0,0,0,0,0,0,0.51,0.51,0.13,0,0.13,0,0.16,0,0.16,0.01,0,0.01,0.17,0,0.17,0,0.17,0.05,0,0.05,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,11,Colusa County,2000,18.8,11.74,0,11.74,3.22,-,-,0,-,-,3.22,-,-,-,-,-,-,-,-,-,-,-,0.48,-,-,0.05,-,-,0.53,7.06,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.22,0.28,0.5,-,282.9,626,908.9,-,-,16.6,75.4,167.2,259.2,-
6,California,11,Colusa County,2005,21.095,4.453,6.679,11.132,0.64,0,0.64,0.96,0,0.96,1.6,0,1.6,2.71,-,-,-,-,-,144,-,-,0.99,-,-,0.25,-,-,1.24,9.963,2.71,-,243,-,3.95,-,-,-,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.25,0,1.25,2.84,0,2.84,4.09,0,4.09,-,-,-,-,-,-,-,0.12,0.16,0.28,-,-,-,-,-,-,-,-,-,-,-
6,California,11,Colusa County,2010,21.419,17.62,0.32,17.94,4.07,0,4.07,0.06,0,0.06,4.13,0,4.13,2.26,-,-,-,-,-,230,-,-,0.24,-,-,0.02,-,-,0.26,3.479,2.26,-,126,-,2.52,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.84,0,0.84,0,0,0,0.84,0,0.84,-,-,-,-,-,0,-,0.12,0.16,0.28,-,124.9,703.97,828.87,-,-,19.31,86.87,194.55,300.73,-
6,California,11,Colusa County,2015,21.482,-,-,18.049,2.46,0,2.46,0,0,0,2.46,0,2.46,1.58,-,-,0,-,-,136,-,-,0.28,-,-,0.02,-,-,0.3,3.433,1.58,-,88,-,1.88,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.84,0,0.84,0,0,0,0.84,0,0.84,-,-,-,-,-,0,9,0.1,0.14,0.24,-,636.09,59.09,695.18,556.65,-,9.75,186.49,113.42,309.66,0
6,California,13,Contra Costa County,1985,711.88,11.43,318.79,330.22,1.87,-,-,52.28,-,-,54.15,-,-,33.03,12.45,56.38,1.91,103.77,-,-,-,-,27.19,-,-,1.43,-,-,28.62,381.66,33.03,-,100,-,61.65,16.03,-,-,75,-,10.25,-,-,0.54,-,-,10.79,-,-,12.45,-,9.98,-,-,-,0.54,0,0.54,7.15,48.05,55.2,7.69,48.05,55.74,56.38,112.12,30.66,0.9,31.56,0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,13,Contra Costa County,1990,803.73,11.55,734.49,746.04,2,-,-,121.03,-,-,123.03,-,-,77.6,16.65,31.92,0.4,126.57,-,-,-,50,0.09,-,-,4.24,-,-,4.33,57.69,77.6,-,104,-,81.93,21.3,-,-,75,-,0,-,-,0.04,-,-,0.04,-,-,16.65,-,1.72,-,-,-,12.59,0,12.59,0,0,0,12.59,0,12.59,31.92,44.51,14.7,0,14.7,0.01,605,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,13,Contra Costa County,1995,867.3,27.08,837.3,864.38,3.62,0,3.62,130.95,0,130.95,134.57,0,134.57,83.01,18.29,13.07,0,114.37,20.2,156,2.07,12,0.2,0,0.2,0.02,0,0.02,0.22,2.92,83.01,0,96,0.22,83.23,21.64,0,21.64,75,-,0.3,0,0.3,0,0,0,0.3,0,0.3,18.29,18.59,4.75,0,4.75,0.09,103.82,0,103.82,3.21,0,3.21,107.03,0,107.03,13.07,120.1,34.88,0,34.88,0.17,588,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,13,Contra Costa County,2000,948.82,23.79,903.89,927.68,3.07,-,-,156.54,-,-,159.61,-,-,-,-,-,-,-,-,-,-,-,1.43,-,-,0.16,-,-,1.59,21.14,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,0,0.13,1.59,6.2,7.79,1.72,6.2,7.92,-,-,-,-,-,-,-,0.4,0.5,0.9,-,32.2,60.4,92.6,-,-,1.5,4.4,35,40.9,-
6,California,13,Contra Costa County,2005,1017.787,118.433,868.508,986.941,20.8,0,20.8,152.53,0,152.53,173.33,0,173.33,112.37,-,-,-,-,-,176,-,-,28.87,-,-,0,-,-,28.87,30.846,112.37,-,114,-,141.24,-,-,-,936,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,0,0.13,0,23.43,23.43,0.13,23.43,23.56,-,-,-,-,-,-,-,0.22,0.27,0.49,-,-,-,-,-,-,-,-,-,-,-
6,California,13,Contra Costa County,2010,1049.025,21.12,991.86,1012.98,8.21,0,8.21,169.97,0,169.97,178.18,0,178.18,90.72,-,-,-,-,-,176,-,-,2.05,-,-,0.66,-,-,2.71,36.045,90.72,-,90,-,93.43,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.34,0,3.34,0,0,0,3.34,0,3.34,-,-,-,-,-,36.31,-,0.16,0.2,0.36,-,3.06,60,63.06,-,-,1.32,3.79,30.3,35.41,-
6,California,13,Contra Costa County,2015,1126.745,-,-,1037.872,7.09,0,7.09,132.88,0,132.88,139.97,0,139.97,72.41,-,-,0,-,-,135,-,-,5.03,-,-,1.62,-,-,6.65,88.873,72.41,-,70,-,79.06,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.34,0,3.34,0,0,0,3.34,0,3.34,-,-,-,-,-,36.31,5,0.18,0.22,0.4,-,12.16,72.74,84.9,70.36,-,9.44,28.96,1.63,40.03,2.27
6,California,15,Del Norte County,1985,18.68,12.19,0.05,12.24,2.19,-,-,0.01,-,-,2.2,-,-,1.34,0.51,0,0,1.85,-,-,-,-,0.41,-,-,0.08,-,-,0.49,6.44,1.34,-,109,-,1.83,0.47,-,-,76,-,0.15,-,-,0.03,-,-,0.18,-,-,0.51,-,0.24,-,-,-,0.25,0,0.25,0.22,0,0.22,0.47,0,0.47,0,0.47,0.15,0,0.15,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,15,Del Norte County,1990,23.46,14.59,0,14.59,2.47,-,-,0.01,-,-,2.48,-,-,1.48,0.35,0,0,1.83,-,-,-,20,0.66,-,-,0,-,-,0.66,8.87,1.48,-,101,-,2.14,0.55,-,-,74,-,0,-,-,0,-,-,0,-,-,0.35,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,15,Del Norte County,1995,27.6,21.26,0.14,21.4,2.92,0,2.92,0.01,0,0.01,2.93,0,2.93,0.91,1.29,0.09,0,2.29,0.64,137,0,9,0.43,0,0.43,0.05,0,0.05,0.48,6.2,0.91,0,43,0.48,1.39,0.36,0,0.36,77,-,0,0,0,0,0,0,0,0,0,1.29,1.29,0.34,0,0.34,0.03,0,0,0,0,0,0,0,0,0,0.09,0.09,0.03,0,0.03,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,15,Del Norte County,2000,27.51,17.89,0.55,18.44,3.08,-,-,0.9,-,-,3.98,-,-,-,-,-,-,-,-,-,-,-,0.61,-,-,0.07,-,-,0.68,9.07,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.05,0.07,0.12,-,7.1,9.9,17,-,-,7.2,0,0,7.2,-
6,California,15,Del Norte County,2005,28.705,0,19.38,19.38,0,0,0,2.38,0,2.38,2.38,0,2.38,2.26,-,-,-,-,-,123,-,-,0.3,-,-,0.3,-,-,0.6,9.325,2.26,-,117,-,2.86,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0,0.01,0.69,0,0.69,0.7,0,0.7,-,-,-,-,-,-,-,0.19,0.27,0.46,-,-,-,-,-,-,-,-,-,-,-
6,California,15,Del Norte County,2010,28.61,19.54,1.2,20.74,2.73,0,2.73,0.16,0,0.16,2.89,0,2.89,1.33,-,-,-,-,-,139,-,-,0.49,-,-,0.1,-,-,0.59,7.87,1.33,-,64,-,1.92,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0,-,0.21,0.29,0.5,-,9.43,0.12,9.55,-,-,7.61,0,0,7.61,-
6,California,15,Del Norte County,2015,27.254,-,-,24.774,2.28,0,2.28,0.12,0,0.12,2.4,0,2.4,1.59,-,-,0,-,-,97,-,-,0.13,-,-,0.03,-,-,0.16,2.48,1.59,-,64,-,1.75,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0,0,0.24,0.33,0.57,-,11.52,4.83,16.35,12.7,-,7.82,1.47,0,9.29,0.44
6,California,17,El Dorado County,1985,103.85,29.97,44.95,74.92,7.6,-,-,11.89,-,-,19.49,-,-,11.89,4.48,1.19,0,17.56,-,-,-,-,1.22,-,-,0.17,-,-,1.39,28.93,11.89,-,159,-,13.28,3.45,-,-,48,-,0.46,-,-,0.06,-,-,0.52,-,-,4.48,-,1.43,-,-,-,0.08,0,0.08,0,0,0,0.08,0,0.08,1.19,1.27,0.72,0,0.72,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,17,El Dorado County,1990,126,23.95,87.31,111.26,7.32,-,-,33.35,-,-,40.67,-,-,24.4,5.29,0.08,0,29.77,-,-,-,41,0.16,-,-,0.46,-,-,0.62,14.74,24.4,-,219,-,25.02,6.51,-,-,42,-,0,-,-,0,-,-,0,-,-,5.29,-,0,-,-,-,0.39,0,0.39,0.73,0,0.73,1.12,0,1.12,0.08,1.2,0.32,0,0.32,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,17,El Dorado County,1995,144.2,38.97,82.81,121.78,7.47,0,7.47,44.87,0,44.87,52.34,0,52.34,30.11,6.1,0.23,0,36.44,15.9,430,0.3,14,1.51,0,1.51,0.17,0,0.17,1.68,22.42,30.11,0,247,1.68,31.79,8.81,0,8.81,75,-,0.01,0,0.01,0,0,0,0.01,0,0.01,6.1,6.11,1.59,0,1.59,0,0.39,0,0.39,0,0,0,0.39,0,0.39,0.23,0.62,0.18,0,0.18,0,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,17,El Dorado County,2000,156.3,37,106.54,143.54,7.56,-,-,28.01,-,-,35.57,-,-,-,-,-,-,-,-,-,-,-,0.86,-,-,0.1,-,-,0.96,12.76,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.09,0.12,0.21,-,2.6,14.1,16.7,-,-,2.8,2.1,0,4.9,-
6,California,17,El Dorado County,2005,176.841,14.14,155.711,169.851,1.74,0,1.74,19.21,0,19.21,20.95,0,20.95,21.8,-,-,-,-,-,123,-,-,16.4,-,-,0.08,-,-,16.48,6.99,21.8,-,128,-,38.28,-,-,-,2358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,0.07,0.09,0.16,-,-,-,-,-,-,-,-,-,-,-
6,California,17,El Dorado County,2010,181.058,35.37,132.19,167.56,6.17,0,6.17,37.45,0,37.45,43.62,0,43.62,21.27,-,-,-,-,-,260,-,-,0.64,-,-,0.17,-,-,0.81,13.498,21.27,-,127,-,22.08,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.89,0,0.89,0,0,0,0.89,0,0.89,-,-,-,-,-,0,-,0.07,0.09,0.16,-,3.45,4.35,7.8,-,-,3.38,2.47,0,5.85,-
6,California,17,El Dorado County,2015,184.452,-,-,156.264,5.08,0,5.08,22.72,0,22.72,27.8,0,27.8,15.48,-,-,0,-,-,178,-,-,2.2,-,-,0.6,-,-,2.8,28.188,15.48,-,99,-,18.28,-,-,-,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.89,0,0.89,0,0,0,0.89,0,0.89,-,-,-,-,-,0,10,0.08,0.1,0.18,-,18.07,7.57,25.64,21.14,-,1.6,4.41,0.4,6.41,0
6,California,19,Fresno County,1985,579.69,505.18,5.89,511.07,133.89,-,-,1.28,-,-,135.17,-,-,82.45,31.09,7.62,0,121.16,-,-,-,-,4.4,-,-,0.09,-,-,4.49,68.62,82.45,-,161,-,86.94,22.61,-,-,65,-,1.66,-,-,0.03,-,-,1.69,-,-,31.09,-,8.65,-,-,-,25.52,0.33,25.85,0,0,0,25.52,0.33,25.85,7.62,33.47,10.2,0.3,10.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,19,Fresno County,1990,667.49,543.04,18.04,561.08,163.41,-,-,5.42,-,-,168.83,-,-,131.49,18.09,9.7,0,159.28,-,-,-,200,7.74,-,-,0.24,-,-,7.98,106.41,131.49,-,234,-,139.47,36.26,-,-,75,-,0,-,-,20.03,-,-,20.03,-,-,18.09,-,0.01,-,-,-,3.09,0,3.09,0,0,0,3.09,0,3.09,9.7,12.79,1.44,0,1.44,0,286,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,19,Fresno County,1995,754.1,645.93,18.04,663.97,163.57,0,163.57,5.42,0,5.42,168.99,0,168.99,141.68,24.6,6.17,0,172.45,-3.46,255,0,58,6.08,0,6.08,0.68,0,0.68,6.76,90.13,141.68,0,213,6.76,148.44,38.59,0,38.59,75,-,0,0,0,18.01,0,18.01,18.01,0,18.01,24.6,42.61,6.41,0,6.41,0,3.69,0,3.69,0.11,0.79,0.9,3.8,0.79,4.59,6.17,10.76,2.89,0.2,3.09,0,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,19,Fresno County,2000,799.41,742.61,15.07,757.68,194.04,-,-,2.08,-,-,196.12,-,-,-,-,-,-,-,-,-,-,-,2.82,-,-,0.31,-,-,3.13,41.73,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.03,0,7.03,0.61,3.81,4.42,7.64,3.81,11.45,-,-,-,-,-,-,-,9.22,11.74,20.96,-,1638.6,1848.3,3486.9,-,-,40.5,415.5,769.8,1225.8,-
6,California,19,Fresno County,2005,877.584,66.673,674.134,740.807,42.86,0,42.86,433.34,0,433.34,476.2,0,476.2,159.95,-,-,-,-,-,643,-,-,36.06,-,-,4.01,-,-,40.07,136.777,159.95,-,216,-,200.02,-,-,-,293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0,0.17,0,0,0,0.17,0,0.17,-,-,-,-,-,-,-,5.83,7.43,13.26,-,-,-,-,-,-,-,-,-,-,-
6,California,19,Fresno County,2010,930.45,784.03,41.18,825.21,178.95,0,178.95,78.99,0,78.99,257.94,0,257.94,131.29,-,-,-,-,-,313,-,-,7.11,-,-,0.53,-,-,7.64,105.24,131.29,-,159,-,138.93,-,-,-,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.51,0,10.51,0,0,0,10.51,0,10.51,-,-,-,-,-,0,-,6.17,7.86,14.03,-,704.36,1784.53,2488.89,-,-,36.04,370.27,685.94,1092.25,-
6,California,19,Fresno County,2015,974.861,-,-,872.74,109.36,0,109.36,47.72,0,47.72,157.08,0,157.08,101.92,-,-,0.45,-,-,180,-,-,9.83,-,-,0.74,-,-,10.57,102.121,101.92,-,117,-,112.49,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.51,0,10.51,0,0,0,10.51,0,10.51,-,-,-,-,-,0,39,5.82,7.42,13.24,-,857.94,757.02,1614.96,1265.5,-,60.9,526.08,528.34,1115.32,36.32
6,California,21,Glenn County,1985,23.08,13.93,0.45,14.38,3.54,-,-,0.11,-,-,3.65,-,-,2.23,0.84,0.03,0,3.1,-,-,-,-,0.64,-,-,0.01,-,-,0.65,8.7,2.23,-,155,-,2.88,0.75,-,-,75,-,0.24,-,-,0,-,-,0.24,-,-,0.84,-,0.36,-,-,-,5.66,0,5.66,0,0,0,5.66,0,5.66,0.03,5.69,1.76,0,1.76,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,21,Glenn County,1990,24.8,14.72,0,14.72,3.97,-,-,0,-,-,3.97,-,-,2.38,0.52,0.23,0,3.13,-,-,-,13,0.76,-,-,0,-,-,0.76,10.08,2.38,-,162,-,3.14,0.81,-,-,75,-,0,-,-,0,-,-,0,-,-,0.52,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0.23,0.23,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,21,Glenn County,1995,26.6,15.43,0,15.43,4.09,0,4.09,0,0,0,4.09,0,4.09,2.82,0.65,0,0,3.47,0.62,265,0,4,0.75,0,0.75,0.08,0,0.08,0.83,11.17,2.82,0,183,0.83,3.65,0.98,0,0.98,74,-,0,0,0,0,0,0,0,0,0,0.65,0.65,0.17,0,0.17,0,0.57,0,0.57,0.02,0,0.02,0.59,0,0.59,0,0.59,0.17,0,0.17,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,21,Glenn County,2000,26.45,14.19,0,14.19,4.37,-,-,0,-,-,4.37,-,-,-,-,-,-,-,-,-,-,-,0.83,-,-,0.09,-,-,0.92,12.26,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63,0,0.63,0,0,0,0.63,0,0.63,-,-,-,-,-,-,-,1.42,1.8,3.22,-,226.7,447.7,674.4,-,-,22.8,74.5,97.3,194.6,-
6,California,21,Glenn County,2005,27.759,4.682,11.705,16.387,1,0,1,2.5,0,2.5,3.5,0,3.5,5.99,-,-,-,-,-,214,-,-,1.65,-,-,0.66,-,-,2.31,11.372,5.99,-,366,-,8.3,-,-,-,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,0,0.91,1.91,0,1.91,2.82,0,2.82,-,-,-,-,-,-,-,0.94,1.2,2.14,-,-,-,-,-,-,-,-,-,-,-
